molecule_chembl_id,canonical_smiles,standard_value
CHEMBL84824,CC1(O)CCC2CC1OO[C@@]2(C)CS(=O)(=O)c1ccccc1,55.0
CHEMBL368814,N=C(N)c1ccc(NC(=O)Nc2cccc(S(=O)(=O)NCc3ccc(S(N)(=O)=O)cc3)c2)cc1,2500.0
CHEMBL176822,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)N3CCc4ccccc4C3)cc2)c1,610.0
CHEMBL82507,CC(=O)OC1(C)CCC2CC1OO[C@@]2(C)CS(=O)(=O)c1ccccc1,17.0
CHEMBL27022,C=C[C@H]1C[N@+]2(Cc3cc(C(C)(C)C)c(OC)c(C(C)(C)C)c3)CC[C@H]1C[C@H]2[C@H](OCc1ccccc1)c1ccnc2ccccc12.[Br-],520.0
CHEMBL282000,CO[C@H]1O[C@]2(C)OO[C@]13[C@H](CCO)CCC[C@@H]3C[C@H]2C,0.5
CHEMBL96830,CC1CC(C)CC2(C1)OOC1(CC(C)CC(C)C1)OO2,50.0
CHEMBL177995,N=C(N)c1ccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccc(S(N)(=O)=O)cc3)cc2)cc1,90.0
CHEMBL22956,CO[C@H]1O[C@]2(C)OO[C@]13[C@H](CCOCc1ccccc1)CCC[C@@H]3CC2(C)C,0.5
CHEMBL175588,N=C(N)c1ccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3c(F)ccc(F)c3F)cc2)cc1,210.0
CHEMBL170,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,370.0
CHEMBL1794911,CC1(CSc2ccccc2)OOC2CC1CC[C@@]2(C)O.CC1(CSc2ccccc2)OOC2CC1CC[C@]2(C)O,2500.0
CHEMBL26733,C=C[C@H]1C[N@+]2(Cc3cc(C(C)(C)C)c(OC)c(C(C)(C)C)c3)CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.[Br-],380.0
CHEMBL277457,CO[C@H]1O[C@]2(C)OO[C@]13[C@H](CCO)CCC[C@@H]3C[C@@H]2C,0.0045
CHEMBL175959,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccc(F)c(F)c3)cc2)c1,1110.0
CHEMBL25738,C=C[C@H]1C[N@+]2(Cc3cc(C(C)(C)C)c(OC)c(C(C)(C)C)c3)CC[C@H]1C[C@@H]2[C@@H](OCc1ccccc1)c1ccnc2ccc(OC)cc12.[Br-],410.0
CHEMBL85002,CC(=O)OC1(C)CCC2CC1OO[C@]2(C)CS(=O)(=O)c1ccccc1,17.0
CHEMBL88052,CCOC(=O)C(=O)OC1(C)CCC2CC1OO[C@@]2(C)CS(=O)(=O)c1ccccc1,170.0
CHEMBL425503,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccc(F)cc3)cc2)c1,320.0
CHEMBL315514,CC1(OC(=O)C(=O)N(Cc2ccccc2)Cc2ccccc2)CCC2CC1OO[C@@]2(C)CS(=O)(=O)c1ccccc1,21.0
CHEMBL177699,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccccc3)cc2)c1,450.0
CHEMBL280150,CO[C@H]1O[C@]2(C)OO[C@]13[C@H](CCO)CCC[C@@H]3CC2(C)C,0.5
CHEMBL431991,CC(=O)CC(=O)OC1(C)CCC2CC1OO[C@]2(C)CS(=O)(=O)c1ccccc1,73.0
CHEMBL174960,N=C(N)c1ccc(NC(=O)Nc2cccc(S(=O)(=O)NCc3c(F)ccc(F)c3F)c2)cc1,190.0
CHEMBL380230,C[C@@H]1C(=O)C[C@H]2C[C@@H]1OO[C@@]2(C)/C=C\c1ccc(C(F)(F)F)cc1C(F)(F)F,71.0
CHEMBL1294,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,160.0
CHEMBL83812,CC1(OC(=O)C(=O)N(Cc2ccccc2)Cc2ccccc2)CCC2CC1OO[C@]2(C)CS(=O)(=O)c1ccccc1,81.0
CHEMBL27076,C=C[C@H]1C[N@+]2(Cc3cc(C(C)(C)C)c(OC)c(C(C)(C)C)c3)CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12.[Br-],360.0
CHEMBL369696,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCCO)cc2)c1,890.0
CHEMBL174742,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2)c1,9000.0
CHEMBL177263,N=C(N)c1ccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccccc3)cc2)cc1,400.0
CHEMBL174446,N=C(N)c1ccc(NC(=O)Nc2cccc(S(=O)(=O)NCc3ccccc3)c2)cc1,410.0
CHEMBL26967,C=C[C@H]1C[N@+]2(Cc3cc(C(C)(C)C)c(OC)c(C(C)(C)C)c3)CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12.[Br-],510.0
CHEMBL175877,N=C(N)c1cccc(NC(=O)Nc2ccc(S(N)(=O)=O)cc2)c1,4900.0
CHEMBL368119,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3ccc(S(N)(=O)=O)cc3)cc2)c1,7.0
CHEMBL533841,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12,380.0
CHEMBL283243,C=CCO[C@@H](c1ccnc2ccc(OC)cc12)[C@H]1C[C@@H]2CC[N@@+]1(Cc1cc(C(C)(C)C)c(OC)c(C(C)(C)C)c1)C[C@@H]2C=C.[Br-],1200.0
CHEMBL309252,CCOC(=O)C(=O)OC1(C)CCC2CC1OO[C@]2(C)CS(=O)(=O)c1ccccc1,140.0
